change_number,revision_number,rbe_gcp_started,rbe_gcp_state,rbe_gcp_time_seconds,rbe_gcp_time_minutes,rbe_bb_started,rbe_bb_state,rbe_bb_time_seconds,rbe_bb_time_minutes
402723,1,2024-01-15 10:05:22.000000000,SUCCESSFUL,924.0,15.4,2024-01-15 10:05:35.000000000,SUCCESSFUL,657.0,10.95
402718,1,2024-01-15 09:25:21.000000000,SUCCESSFUL,919.0,15.32,2024-01-15 09:25:33.000000000,SUCCESSFUL,188.0,3.13
402724,1,2024-01-15 10:15:22.000000000,SUCCESSFUL,2306.0,38.43,2024-01-15 10:15:42.000000000,SUCCESSFUL,729.0,12.15
402761,1,2024-01-15 10:25:21.000000000,SUCCESSFUL,2054.0,34.23,2024-01-15 10:25:38.000000000,SUCCESSFUL,879.0,14.65
402761,2,2024-01-15 10:45:24.000000000,SUCCESSFUL,1499.0,24.98,2024-01-15 10:45:37.000000000,SUCCESSFUL,592.0,9.87
402722,1,2024-01-15 10:05:25.000000000,SUCCESSFUL,1571.0,26.18,2024-01-15 10:05:39.000000000,SUCCESSFUL,859.0,14.32
402721,1,2024-01-15 10:05:24.000000000,SUCCESSFUL,1451.0,24.18,2024-01-15 10:05:38.000000000,SUCCESSFUL,898.0,14.97
402760,1,2024-01-15 10:10:21.000000000,SUCCESSFUL,2452.0,40.87,2024-01-15 10:12:15.000000000,SUCCESSFUL,797.0,13.28
402726,1,2024-01-15 10:20:25.000000000,SUCCESSFUL,1897.0,31.62,2024-01-15 10:20:44.000000000,SUCCESSFUL,941.0,15.68
402726,2,2024-01-15 10:45:22.000000000,SUCCESSFUL,1387.0,23.12,2024-01-15 10:45:32.000000000,SUCCESSFUL,551.0,9.18
401379,1,2024-01-09 09:20:25.000000000,SUCCESSFUL,1095.0,18.25,2024-01-09 09:20:30.000000000,FAILED,635.0,10.58
401379,2,2024-01-09 16:20:33.000000000,SUCCESSFUL,1183.0,19.72,2024-01-09 16:20:27.000000000,SUCCESSFUL,862.0,14.37
401379,3,2024-01-10 09:00:35.000000000,SUCCESSFUL,1207.0,20.12,2024-01-10 09:00:28.000000000,SUCCESSFUL,907.0,15.12
401437,1,2024-01-09 09:55:25.000000000,SUCCESSFUL,2096.0,34.93,2024-01-09 09:55:29.000000000,SUCCESSFUL,484.0,8.07
401437,2,2024-01-09 11:50:25.000000000,SUCCESSFUL,1759.0,29.32,2024-01-09 11:50:30.000000000,SUCCESSFUL,591.0,9.85
401437,3,2024-01-09 16:20:34.000000000,SUCCESSFUL,1496.0,24.93,2024-01-09 16:20:31.000000000,SUCCESSFUL,704.0,11.73
401437,5,2024-01-10 09:00:37.000000000,SUCCESSFUL,1531.0,25.52,2024-01-10 09:00:35.000000000,SUCCESSFUL,1048.0,17.47
401437,6,2024-01-12 10:55:36.000000000,SUCCESSFUL,2959.0,49.32,2024-01-12 10:55:52.000000000,SUCCESSFUL,2111.0,35.18
402298,1,2024-01-12 10:55:39.000000000,SUCCESSFUL,2960.0,49.33,2024-01-12 10:55:56.000000000,SUCCESSFUL,2402.0,40.03
401217,1,2024-01-08 14:30:31.000000000,SUCCESSFUL,1159.0,19.32,2024-01-08 14:30:36.000000000,SUCCESSFUL,761.0,12.68
401217,2,2024-01-10 09:00:36.000000000,SUCCESSFUL,2954.0,49.23,2024-01-10 09:00:35.000000000,SUCCESSFUL,1622.0,27.03
402303,1,2024-01-12 10:55:35.000000000,SUCCESSFUL,1029.0,17.15,2024-01-12 10:55:50.000000000,SUCCESSFUL,1649.0,27.48
402303,2,2024-01-15 07:55:28.000000000,SUCCESSFUL,912.0,15.2,2024-01-15 07:55:42.000000000,SUCCESSFUL,1604.0,26.73
402300,1,2024-01-12 10:55:34.000000000,SUCCESSFUL,1887.0,31.45,2024-01-12 10:55:47.000000000,SUCCESSFUL,1563.0,26.05
402300,2,2024-01-15 07:55:26.000000000,SUCCESSFUL,1634.0,27.23,2024-01-15 07:55:41.000000000,SUCCESSFUL,1251.0,20.85
401382,1,2024-01-09 15:10:26.000000000,SUCCESSFUL,1800.0,30.0,2024-01-09 15:10:27.000000000,SUCCESSFUL,528.0,8.8
401382,2,2024-01-09 16:20:33.000000000,SUCCESSFUL,1126.0,18.77,2024-01-09 16:20:27.000000000,SUCCESSFUL,613.0,10.22
401382,4,2024-01-10 09:00:34.000000000,SUCCESSFUL,865.0,14.42,2024-01-10 09:00:28.000000000,SUCCESSFUL,947.0,15.78
401382,5,2024-01-12 10:55:33.000000000,SUCCESSFUL,2341.0,39.02,2024-01-12 10:55:38.000000000,SUCCESSFUL,1214.0,20.23
402301,1,2024-01-12 10:55:34.000000000,SUCCESSFUL,1922.0,32.03,2024-01-12 10:55:47.000000000,SUCCESSFUL,1468.0,24.47
402301,2,2024-01-15 07:55:27.000000000,SUCCESSFUL,1610.0,26.83,2024-01-15 07:55:44.000000000,SUCCESSFUL,1305.0,21.75
402299,1,2024-01-12 10:55:33.000000000,SUCCESSFUL,2159.0,35.98,2024-01-12 10:55:40.000000000,SUCCESSFUL,1593.0,26.55
402299,2,2024-01-15 07:55:26.000000000,SUCCESSFUL,1840.0,30.67,2024-01-15 07:55:33.000000000,SUCCESSFUL,1261.0,21.02
402302,1,2024-01-12 10:55:38.000000000,SUCCESSFUL,3269.0,54.48,2024-01-12 10:55:55.000000000,SUCCESSFUL,2412.0,40.2
402302,2,2024-01-15 07:55:30.000000000,SUCCESSFUL,2247.0,37.45,2024-01-15 07:55:45.000000000,SUCCESSFUL,1622.0,27.03
